Id	variety	sex	indivvidual	chemotype	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26
0	NESTOR	H	N001		-0.0014767490475993475	0.27337779339061175	-0.043600006422496285	-0.307706888927122	0.1504097571740054	0.25165859475814445	-0.12890910963426483	0.2231322858597017	-0.23349521574536442	0.15451759880043392	-0.2886422137894712	0.03888871054691774	-0.26993294653144856	-0.09826989299321746	-0.18941615271160958	-0.22956730752868243	0.10560657834699365	-0.264377605835875	0.20247148930386955	-0.1796629004713101	0.24806265439958672	-0.0661277066707124	0.24824537622686826	0.0483790240119423	0.2006765384309312	0.15575829505916738
1	NESTOR	M	N002		-0.008433048008223264	0.2787792716489899	-0.049900335765768654	-0.30884734292732674	0.13601170022215942	0.2571478242984643	-0.12552304783978335	0.22811444674477005	-0.2175468337241706	0.14617058778993208	-0.2808403845770598	0.0318182261656928	-0.26940933594131167	-0.0971916240083136	-0.1877824440105876	-0.2205674124541837	0.10218962136658169	-0.2736651746941428	0.2026234520526835	-0.18902332021025003	0.24915712523076816	-0.06990871937840182	0.24858382228895484	0.05203284813343195	0.20086970870575752	0.16514038889133736
2	NESTOR	M	N003		-0.016764888532511617	0.27858656950224336	-0.03491628007537127	-0.31450275357309265	0.1411868454455425	0.24276531300494986	-0.13794208254322532	0.23405174332264125	-0.23336071835433278	0.1659491890858156	-0.27989271767095364	0.04601287851844677	-0.26529193976815985	-0.09348914694449469	-0.176113342803103	-0.2243966368454449	0.10729966744108455	-0.266918771773929	0.20416677036210762	-0.18953143799545652	0.24220724231767213	-0.07565152782427835	0.2416202118708834	0.042709164726893234	0.2078012323103673	0.15441541679570606
3	NESTOR	H	N004		-0.023993615963278512	0.27899029141568055	-0.03965878636596285	-0.31097651436431817	0.13428055625714438	0.24619827064754704	-0.13813549084520937	0.2194433680041956	-0.2366342761431765	0.15839129527339693	-0.28230196671082053	0.047043780553171335	-0.263384999062541	-0.08427310746489845	-0.17392960981693042	-0.21214544230682925	0.1052623233850486	-0.2755167483393236	0.20288646620422737	-0.1924374431814572	0.2495291880635091	-0.0751183435183172	0.2550337953329096	0.04438770268711833	0.2110464156650802	0.15601289059403411
4	NESTOR	M	N005		-0.030036440413956894	0.29537193831970326	-0.020298641756347095	-0.3027658911172125	0.1488012943640033	0.23596918444209322	-0.14766476913611903	0.23451761597634413	-0.24417560893223714	0.1623214654218782	-0.29048986588682174	0.04483972707005732	-0.26672735781613305	-0.0896434354774736	-0.16786536652797657	-0.21515872529635294	0.11284039551240713	-0.2642419885540739	0.19856066226026717	-0.18941973572687235	0.23630414251367854	-0.0819952368234898	0.24871610712502257	0.030065857569809652	0.22203544869421282	0.1401392241955895
5	NESTOR	M	N006		-0.026289803296277076	0.2906291123617975	-0.03488673492503404	-0.2987513139126279	0.1393437314580872	0.24903286585222176	-0.13852948202867327	0.22281556705401515	-0.23762229216281192	0.15808039539434388	-0.28147189744923795	0.041280972293636406	-0.2706105897800197	-0.09109622605702428	-0.18006400271602713	-0.21136886167123045	0.11050526510388226	-0.26765844513286824	0.20528954205860253	-0.1894172648490554	0.2553988478356567	-0.08075041100861013	0.2548243997011503	0.03305299640923087	0.20411301620070205	0.1441506132661708
6	NESTOR	H	N007		-0.03171312741347107	0.2912711510188835	-0.03247479581380689	-0.30624826798131305	0.14947329283704452	0.25131675483770133	-0.1467134858585092	0.22486146515136535	-0.2413405132204313	0.1601080868245141	-0.2790689926720586	0.0440966046663861	-0.26048143012918334	-0.08879497250589605	-0.16917853410809353	-0.21313862009677265	0.1053617694686848	-0.2712975979803685	0.19732671027228943	-0.19088989609490212	0.24636446254869032	-0.08064851005352842	0.2532040259223476	0.033674444939319176	0.20924061816649725	0.14568935727461094
7	NESTOR	M	N008		-0.003974913742352731	0.27047457847731826	-0.045162667945977064	-0.3231327134365644	0.1287004349784979	0.2492840636196984	-0.12479426756800187	0.23315152396051902	-0.22308203381620578	0.16408879641297114	-0.2800022146252884	0.04650906228514359	-0.26341334101960906	-0.0943475800720618	-0.18199059132903056	-0.231868862807668	0.10145972454101503	-0.27062961312641753	0.20507800730439155	-0.18531863671836285	0.24962163574705024	-0.068169927163409	0.2452534619404812	0.05059063194189894	0.19230676553502946	0.15936867662693407
8	NESTOR	F	N009	1	-0.04781566277408775	0.2913536066336349	-0.04967099903583816	-0.30146628683405935	0.1614534207364149	0.25971494140476536	-0.15798501274394028	0.22073810318782147	-0.2372278254252461	0.14180515700934682	-0.2787290192152534	0.03678414264903416	-0.2446688532554971	-0.0824346953206981	-0.17199888442014946	-0.2096858165088568	0.0966136713515478	-0.26894552553049256	0.1999265353410649	-0.19404472828308664	0.25096662977181816	-0.08331404889209283	0.2570301465908561	0.03537643099485534	0.22210585307831046	0.15411871948982828
9	NESTOR	F	N010	1	-0.0054242029480406975	0.2870983209683765	-0.02547860784081001	-0.32201237412348516	0.1374881305119075	0.24328187504685078	-0.12566500131471717	0.24455675480597716	-0.2230848730733731	0.16420250344408804	-0.28769793759225243	0.042180300549405914	-0.27253833291648166	-0.09838733814157458	-0.17245204670628286	-0.23029097959461983	0.10705172344553031	-0.26767099478056217	0.1964784776529007	-0.1855740213175238	0.2319352039337928	-0.07134268049388164	0.239501735244631	0.043392468628234954	0.1998857316031953	0.1505661650087136
10	NESTOR	F	N011		-0.02576891326159565	0.27923432257646735	-0.02869628383725291	-0.29871224665712315	0.20017169038568855	0.242690128081594	-0.16519094955185273	0.23788071377482137	-0.24562534272555023	0.152032576773549	-0.29406432276125677	0.035723434804486545	-0.26361848853821884	-0.09409575619007257	-0.174666404968708	-0.2207720090843714	0.10917700703145038	-0.2588460712540055	0.19764994917833167	-0.18254385891705743	0.23650707465580895	-0.07502546266578736	0.2407124540860408	0.03692118440354313	0.2134125303071147	0.1455130443539562
11	NESTOR	NA	N012		-0.027903665144764098	0.28879482204363655	-0.0389998100435356	-0.2965332815793388	0.149152975322324	0.24892030918421643	-0.14100904445110118	0.22078268735829562	-0.23617185006426997	0.14719452743029024	-0.2847959528202464	0.034437715572789844	-0.2681293605170587	-0.0922510373217969	-0.18015539187357335	-0.20992301223850462	0.10689839315585542	-0.2700882271510967	0.19982387277186264	-0.19103489123442854	0.24518498871004654	-0.07697379328107626	0.25408501125604627	0.04145977667404677	0.22201983369841438	0.15521440454296612
12	NESTOR	F	N013	1	-0.016754967430100125	0.2669778454138946	-0.05240074468716602	-0.3039870686204087	0.14969811656306084	0.25052643591648993	-0.14054583098149315	0.22109337891417205	-0.23134903625419692	0.1482082323343685	-0.2815129624355196	0.033961457618263094	-0.2705563959263793	-0.09623896587121064	-0.18928453105313445	-0.21745279170148246	0.10042834604917023	-0.26513181810113806	0.20418632088267966	-0.18302546658900914	0.25244774866761294	-0.06645323932766026	0.2597732368785653	0.05123046761216257	0.21587069972690087	0.1602915324015583
13	NESTOR	M	N014		-0.02544948296880778	0.28685233163971396	-0.04782527064656286	-0.30191244255435484	0.1532665387306027	0.2552357083626728	-0.14021333013831233	0.2195686747055351	-0.23212224296772566	0.14269142957336334	-0.28044915800362213	0.030226602468814378	-0.2631217235329119	-0.09560072997280954	-0.18072857832748648	-0.2142558434009718	0.09837553639449151	-0.2698284702592066	0.1960964651009811	-0.18850484630334946	0.2456448556296109	-0.07356086147625224	0.2530527316648311	0.04668180725616358	0.2234736590649115	0.16240663996068133
14	NESTOR	H	N015		-8.676539924317092E-4	0.2669449879742978	-0.03705653281877116	-0.31954791451706266	0.1408480143344722	0.23832964360498876	-0.1285538359784768	0.2315515194947277	-0.23341024962120643	0.16723524574528698	-0.28723935457996935	0.04702515409171747	-0.2709919836642839	-0.0981385318792116	-0.1837967410498061	-0.2353967575561371	0.10444808000231781	-0.26430190163523687	0.19973768889811833	-0.17632477932987217	0.2448153270589669	-0.06260093488465018	0.24678432014568755	0.05046646335333727	0.20528292126538278	0.15475780553781482
15	NESTOR	M	N016		-0.02194806808927084	0.28408157065280853	-0.033467109726207284	-0.3101885427641599	0.15521696181908495	0.23353075408019688	-0.1459647171477095	0.23394389918269187	-0.24110604124590523	0.15649397925175315	-0.29309381942268237	0.0376157306499966	-0.27343810644064687	-0.09550443344820671	-0.1723077070985596	-0.21821583313893664	0.10143397976383799	-0.25290292130790765	0.20104354734254962	-0.1765140891642596	0.24771757374272896	-0.07307281332282786	0.2503257852655662	0.036519380472133815	0.22558772123721432	0.14421331885671737
16	NESTOR	F	N017	1	-0.012896843565105648	0.252948006153703	-0.06657420234593268	-0.3236913679299671	0.10944449136751064	0.24039945667095214	-0.12248500614192237	0.22355561984300037	-0.21099550214988697	0.15567524752074982	-0.2702979550690243	0.04541465227323459	-0.2627122116582892	-0.08690340951641248	-0.19161784029302456	-0.2206688695637012	0.09762093378108418	-0.2862262309026874	0.2116726347663308	-0.19420265694184913	0.2585003973381034	-0.05957986682116283	0.2573975825449783	0.07265559502828298	0.20294352142517844	0.18062382418585732
17	NESTOR	M	N018		-0.024671266554401276	0.2841372685030216	-0.04545709378028072	-0.3079586840200268	0.13846446811042248	0.24707421408742858	-0.13702163720693772	0.22154119131224445	-0.23348241364887098	0.15309529525384047	-0.2801130546492675	0.04006822202902621	-0.26224406917917203	-0.09162482635360891	-0.17947581266018126	-0.21751111424140446	0.10054071688785098	-0.2706591612884727	0.1994159032590567	-0.18648639822456942	0.25141046755533264	-0.07250069646541431	0.2568535621391131	0.04473000413377544	0.21578022972733535	0.15609468527416004
18	NESTOR	F	N019	1	-0.008307797616864999	0.2752970832999917	-0.04942207727903944	-0.3029151098113653	0.15334827753275257	0.24411784921294905	-0.13302941973711052	0.21746880613920233	-0.23722326319155979	0.14606885591830227	-0.2939040982139794	0.03220746956246938	-0.2767531146587103	-0.09875928723982307	-0.19109991498134563	-0.22219937221611735	0.1019019874836589	-0.25197600273084403	0.20757465350204823	-0.17599788919452208	0.2518951207313652	-0.06582644669273838	0.25599657478197596	0.047484951607744214	0.21902307164680895	0.15502909214475102
19	NESTOR	F	N020	1	-0.038714796409082694	0.2914624203877827	-0.04899364122794908	-0.29364088684068107	0.155692706467146	0.2588814421185518	-0.15105867077753624	0.22422665305596362	-0.23286880949705843	0.14399861342230394	-0.27650132566643776	0.03296134261482679	-0.2553125433215873	-0.09178478438433763	-0.18186520899781675	-0.2130989429040067	0.1030293794266608	-0.26428396397361803	0.2056474685410519	-0.1950451646656281	0.2484599658583929	-0.08361326055121972	0.2550711501777659	0.03588888065642494	0.21741432542645078	0.1540476510636376
20	NESTOR	F	N021	1	-0.015999198294676175	0.28644629353076706	-0.0492359991974925	-0.3202487367996333	0.12980331634105946	0.2521200589094334	-0.1265209118101157	0.22937378362864863	-0.22118892423150285	0.15695306404983128	-0.27302252276689676	0.0409297314571371	-0.2561401022532092	-0.09555130803193343	-0.1786705130120196	-0.22832558592697694	0.09706652969943354	-0.27406546263473264	0.19965599031919215	-0.19036876962622504	0.24544756263098108	-0.07203417681734534	0.24461704594792247	0.05033759378691897	0.20418772662732426	0.16443351447411006
21	NESTOR	F	N022	1	-0.005038236716998962	0.2800166612914418	-0.0361952132613456	-0.3295723643032013	0.1323760125618737	0.2528753183891292	-0.1246659514442761	0.2361921033719017	-0.22321353844133288	0.16446267013891017	-0.2808504881432532	0.047125343624854335	-0.2606616295538952	-0.09276623120262817	-0.16936955485246846	-0.22965147622105825	0.09964216249971061	-0.276483294099003	0.19639185455709451	-0.1887591589517304	0.24126960108006335	-0.07126844852441876	0.23868248571945835	0.04814362603542429	0.19163249599537005	0.1596852504503784
22	NESTOR	M	N023		-0.02870999184836979	0.2832825494400954	-0.03857567152418434	-0.30243489130484497	0.17104234634819168	0.25266489259682934	-0.1547507175051462	0.23027042501909456	-0.2391818772615235	0.15269894341287013	-0.28097319107667396	0.03704136659757415	-0.2579556187355162	-0.09474545941908721	-0.1759519411344863	-0.22025183645998173	0.10360535019932987	-0.2639597712341066	0.19819935029492292	-0.1882918670281494	0.23967767578737384	-0.07778343465202014	0.24554316939612836	0.038522747953516207	0.21803111705995365	0.15298633507821033
